1,Debtor:1,2,5050,5000,0
2,Debtor:2,4,9310,8340,0
3,Debtor:3,2,1810,1362,1000
4,Debtor:4,2,9970,7477,0
5,Debtor:5,5,7113,4124,0
6,Debtor:6,5,4459,3960,2130
7,Debtor:7,1,6128,2821,0
8,Debtor:8,2,1476,604,10000
9,Debtor:9,2,5110,2722,9000
10,Debtor:10,2,8978,5860,1000
11,Debtor:11,2,10653,5236,900
12,Debtor:12,1,2477,947,0
13,Debtor:13,2,6689,3296,560
14,Debtor:14,4,9245,2872,0
15,Debtor:15,3,3611,2037,5600
16,Debtor:16,2,5519,1615,1000
17,Debtor:17,1,8092,3755,0
18,Debtor:18,2,5465,3690,5889
19,Debtor:19,5,4505,3085,5124
20,Debtor:20,1,3414,3393,500
21,Debtor:21,2,4330,1501,0
22,Debtor:22,1,3371,2191,177
23,Debtor:23,4,5165,4905,0
24,Debtor:24,4,50921,9384,0
25,Debtor:25,2,3411,2811,0
